Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:14,20:00,106,Participant
Sarah Johnson,sarah.johnson@msc.com,18:44,19:36,52,Participant
Michael Brown,michael.brown@msc.com,18:55,19:41,46,Participant
Emily Davis,emily.davis@msc.com,18:26,20:00,94,Participant
John Miller,john.miller@msc.com,18:48,20:00,72,Participant
Olivia Garcia,olivia.garcia@msc.com,18:17,18:30,13,Participant
David Martinez,david.martinez@msc.com,18:15,20:00,105,Participant
Emma Wilson,emma.wilson@msc.com,18:24,19:37,73,Participant
Daniel Anderson,daniel.anderson@msc.com,18:33,19:10,37,Participant
Sophia Thomas,sophia.thomas@msc.com,19:00,20:00,60,Participant
Robert Taylor,robert.taylor@msc.com,18:56,19:56,60,Participant
Mia Lee,mia.lee@msc.com,18:27,20:00,93,Participant
William Harris,william.harris@msc.com,18:19,19:42,83,Participant
Isabella Clark,isabella.clark@msc.com,18:10,18:16,6,Participant
Joseph Lewis,joseph.lewis@msc.com,18:24,19:09,45,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:38,19:23,45,Participant
Benjamin Young,benjamin.young@msc.com,18:48,19:03,15,Participant
Amelia Hall,amelia.hall@msc.com,18:58,20:00,62,Participant
Samuel King,samuel.king@msc.com,18:54,19:43,49,Participant
Abigail Scott,abigail.scott@msc.com,18:24,20:00,96,Participant
Alexander Green,alexander.green@msc.com,18:52,20:00,68,Participant
Harper Adams,harper.adams@msc.com,18:44,18:49,5,Participant
Christopher Baker,christopher.baker@msc.com,18:43,20:00,77,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:37,19:12,35,Participant
Matthew Nelson,matthew.nelson@msc.com,19:00,20:00,60,Participant
Chloe Carter,chloe.carter@msc.com,18:58,20:00,62,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:38,20:00,82,Participant
Grace Perez,grace.perez@msc.com,18:37,18:48,11,Participant
Joshua Moore,joshua.moore@msc.com,18:25,19:02,37,Participant
Ella White,ella.white@msc.com,18:50,19:37,47,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:27,20:00,93,Participant
Zoe Walker,zoe.walker@msc.com,18:26,19:38,72,Participant
Nicholas Allen,nicholas.allen@msc.com,18:28,20:00,92,Participant
Layla Rivera,layla.rivera@msc.com,18:57,19:21,24,Participant
Ryan Hill,ryan.hill@msc.com,18:47,19:27,40,Participant
Hannah Wright,hannah.wright@msc.com,18:56,19:25,29,Participant
Justin Flores,justin.flores@msc.com,18:24,19:48,84,Participant
Natalie Collins,natalie.collins@msc.com,18:03,19:28,85,Participant
Ethan Edwards,ethan.edwards@msc.com,18:53,19:34,41,Participant
Aria Turner,aria.turner@msc.com,18:19,20:00,101,Participant
