Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:35,20:00,85,Participant
Sarah Johnson,sarah.johnson@msc.com,18:19,19:40,81,Participant
Michael Brown,michael.brown@msc.com,18:19,18:28,9,Participant
Emily Davis,emily.davis@msc.com,18:18,18:40,22,Participant
John Miller,john.miller@msc.com,18:55,19:13,18,Participant
Olivia Garcia,olivia.garcia@msc.com,18:16,20:00,104,Participant
David Martinez,david.martinez@msc.com,18:50,20:00,70,Participant
Emma Wilson,emma.wilson@msc.com,18:35,18:44,9,Participant
Daniel Anderson,daniel.anderson@msc.com,18:32,20:00,88,Participant
Sophia Thomas,sophia.thomas@msc.com,18:26,19:58,92,Participant
Robert Taylor,robert.taylor@msc.com,18:56,20:00,64,Participant
Mia Lee,mia.lee@msc.com,18:54,20:00,66,Participant
William Harris,william.harris@msc.com,18:21,19:06,45,Participant
Isabella Clark,isabella.clark@msc.com,18:19,18:31,12,Participant
Joseph Lewis,joseph.lewis@msc.com,18:58,19:10,12,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:59,19:08,9,Participant
Benjamin Young,benjamin.young@msc.com,18:44,20:00,76,Participant
Amelia Hall,amelia.hall@msc.com,18:01,19:52,111,Participant
Samuel King,samuel.king@msc.com,18:49,20:00,71,Participant
Abigail Scott,abigail.scott@msc.com,18:06,18:14,8,Participant
Alexander Green,alexander.green@msc.com,18:50,20:00,70,Participant
Harper Adams,harper.adams@msc.com,18:23,20:00,97,Participant
Christopher Baker,christopher.baker@msc.com,18:38,19:14,36,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:27,18:58,31,Participant
Matthew Nelson,matthew.nelson@msc.com,18:03,18:40,37,Participant
Chloe Carter,chloe.carter@msc.com,18:35,19:21,46,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:36,20:00,84,Participant
Grace Perez,grace.perez@msc.com,18:24,19:12,48,Participant
Joshua Moore,joshua.moore@msc.com,18:17,19:11,54,Participant
Ella White,ella.white@msc.com,19:00,20:00,60,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:03,20:00,117,Participant
Zoe Walker,zoe.walker@msc.com,18:53,19:05,12,Participant
Nicholas Allen,nicholas.allen@msc.com,18:11,19:30,79,Participant
Layla Rivera,layla.rivera@msc.com,18:33,18:38,5,Participant
Ryan Hill,ryan.hill@msc.com,18:21,19:39,78,Participant
Hannah Wright,hannah.wright@msc.com,18:09,19:12,63,Participant
Justin Flores,justin.flores@msc.com,18:22,19:06,44,Participant
Natalie Collins,natalie.collins@msc.com,18:41,20:00,79,Participant
Ethan Edwards,ethan.edwards@msc.com,18:55,19:27,32,Participant
Aria Turner,aria.turner@msc.com,18:16,19:05,49,Participant
