Name,Email,Join Time,Leave Time,Duration,Role
Lucas Anderson,lucasanderson@example.com,06:13 PM,07:58 PM,1:45:00,Participant
Emily Johnson,emilyjohnson@example.com,06:03 PM,08:00 PM,1:57:00,Participant
Benjamin Harris,benjaminharris@example.com,06:03 PM,07:52 PM,1:49:00,Participant
Isabella Moore,isabellamoore@example.com,06:04 PM,07:57 PM,1:53:00,Participant
James Carter,jamescarter@example.com,06:15 PM,07:58 PM,1:43:00,Participant
Olivia Martin,oliviamartin@example.com,06:05 PM,07:50 PM,1:45:00,Participant
Alexander Wright,alexanderwright@example.com,06:00 PM,07:50 PM,1:50:00,Participant
Sophia Lewis,sophialewis@example.com,06:10 PM,07:54 PM,1:44:00,Participant
Michael Scott,michaelscott@example.com,06:08 PM,07:59 PM,1:51:00,Participant
Amelia Clark,ameliaclark@example.com,06:09 PM,07:46 PM,1:37:00,Participant
Noah Robinson,noahrobinson@example.com,06:13 PM,07:48 PM,1:35:00,Participant
Grace Rodriguez,gracerodriguez@example.com,06:14 PM,07:54 PM,1:40:00,Participant
Elijah Turner,elijahturner@example.com,06:11 PM,07:48 PM,1:37:00,Participant
Ava Mitchell,avamitchell@example.com,06:07 PM,07:56 PM,1:49:00,Participant
William Cooper,williamcooper@example.com,06:03 PM,07:55 PM,1:52:00,Participant
Charlotte Hill,charlottehill@example.com,06:09 PM,07:50 PM,1:41:00,Participant
Henry Adams,henryadams@example.com,06:09 PM,07:56 PM,1:47:00,Participant
Evelyn Baker,evelynbaker@example.com,06:10 PM,07:56 PM,1:46:00,Participant
Samuel Collins,samuelcollins@example.com,06:02 PM,07:51 PM,1:49:00,Participant
Mia Allen,miaallen@example.com,06:13 PM,07:53 PM,1:40:00,Participant
Daniel Bennett,danielbennett@example.com,06:02 PM,07:54 PM,1:52:00,Participant
Harper Parker,harperparker@example.com,06:08 PM,07:53 PM,1:45:00,Participant
Jacob Young,jacobyoung@example.com,06:01 PM,07:56 PM,1:55:00,Participant
